lat_values	lng_values	city	country	Temp	Humidity	Cloudiness	Wind Speed	Lat	Longitude
-27.702181007149733	28.49283399848005	reitz	za	56.52	95	0	7.92	-27.8	28.43
11.60402215796934	80.58402813096973	pondicherry	in						
7.307268788599998	-52.90902754325501	iracoubo	gf	74.16	96	92	3.89	5.48	-53.21
33.72102860403109	117.83542483525343	suicheng	cn	46.71	58	12	12.12	33.9	117.93
19.831711637904903	80.57701504458521	allapalli	in	71.23	63	0	5.75	19.43	80.06
-6.331748214522449	36.53386564953445	mpwapwa	tz	61.51	92	32	2.62	-6.35	36.49
-42.56079950024789	167.28270832058348	wanaka	nz	68.17	30	0	4.74	-44.7	169.14
29.500536174720054	35.113982254585494	elat	il						
58.926279199904286	54.757509373630086	kudymkar	ru	9.09	86	88	8.77	59.01	54.66
-9.202210234949348	-79.62163172276249	chimbote	pe	69.57	87	44	5.79	-9.08	-78.59
-5.032201230436883	20.474487029496686	ilebo	cd	74.52	95	12	1.83	-4.33	20.59
-18.21615232653292	166.84942942425096	vila	vu						
13.979756238093515	-9.138540429190499	kita	ml	69.12	35	0	11.27	13.04	-9.49
-10.385199857072337	43.48617485995635	mitsamiouli	km	80.91	100	80	3.22	-11.38	43.28
